j=1000
  Avg:0.009559999999999961 Std:0.03120114838655781
j=10000
  Avg:-0.03506000000000049 Std:0.10026626291849115
         3949389 function calls (3903366 primitive calls) in 49.171 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    306/1    0.001    0.000   49.171   49.171 {built-in method builtins.exec}
   102/12    0.001    0.000    0.004    0.000 core.py:3816(streamline)
        2    0.001    0.001    0.001    0.001 {built-in method matplotlib._c_internal_utils.display_is_valid}
      594    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1002    0.001    0.000    0.003    0.000 results.py:533(copy)
     1767    0.001    0.000    0.004    0.000 re.py:187(match)
       36    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      225    0.001    0.000    0.048    0.000 sre_compile.py:783(compile)
     5136    0.001    0.000    0.001    0.000 core.py:1924(__hash__)
      385    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     8753    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
      225    0.001    0.000    0.004    0.000 sre_compile.py:560(_compile_info)
      848    0.001    0.000    0.002    0.000 font_manager.py:968(_json_decode)
      784    0.001    0.000    0.001    0.000 __init__.py:2014(_setattr_cm)
     1917    0.001    0.000    0.001    0.000 exceptions.py:24(__init__)
      769    0.001    0.000    0.004    0.000 colors.py:152(to_rgba)
     5689    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
   556/37    0.001    0.000    0.044    0.001 core.py:3861(parseImpl)
       20    0.001    0.000    0.001    0.000 {method 'load_char' of 'matplotlib.ft2font.FT2Font' objects}
     1165    0.001    0.000    0.001    0.000 {built-in method numpy.array}
     8898    0.001    0.000    0.001    0.000 inspect.py:3002(parameters)
     3735    0.001    0.000    0.001    0.000 inspect.py:191(isclass)
       28    0.001    0.000    0.002    0.000 util.py:182(_collapse_string_to_ranges)
    297/8    0.001    0.000    0.972    0.121 <frozen importlib._bootstrap_external>:877(exec_module)
     6107    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
  1052/18    0.001    0.000    0.037    0.002 core.py:4373(parseImpl)
     2766    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
     2431    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.001    0.001    0.001    0.001 backend_agg.py:87(__init__)
      152    0.001    0.000    0.001    0.000 artist.py:149(__init__)
     8097    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x7fcc02980280}
     2240    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      840    0.001    0.000    0.005    0.000 __init__.py:276(process)
       20    0.001    0.000    0.001    0.000 mixins.py:16(_binary_method)
      168    0.001    0.000    0.002    0.000 colors.py:195(_to_rgba_no_colorcycle)
      297    0.001    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       57    0.001    0.000    0.006    0.000 lines.py:276(__init__)
     1455    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1383    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1304    0.001    0.000    0.003    0.000 colors.py:106(_is_nth_color)
      261    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
     2820    0.001    0.000    0.001    0.000 sre_parse.py:161(__len__)
 3627/861    0.001    0.000    0.001    0.000 docstring.py:48(_recursive_subclasses)
     2185    0.001    0.000    0.001    0.000 inspect.py:199(ismethod)
     2639    0.001    0.000    0.001    0.000 sre_parse.py:250(match)
      170    0.001    0.000    0.009    0.000 font_manager.py:658(__init__)
      858    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
      225    0.001    0.000    0.028    0.000 sre_parse.py:944(parse)
     2714    0.001    0.000    0.001    0.000 util.py:185(is_consecutive)
      297    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
  350/346    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      725    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
    684/3    0.001    0.000    0.036    0.012 core.py:5200(parseImpl)
       56    0.001    0.000    0.369    0.007 text.py:290(_get_layout)
       40    0.001    0.000    0.001    0.000 {built-in method io.open}
     4471    0.001    0.000    0.001    0.000 artist.py:1456(<genexpr>)
      312    0.001    0.000    0.001    0.000 font_manager.py:710(__hash__)
     1747    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
      108    0.001    0.000    0.003    0.000 traceback.py:338(extract)
       92    0.001    0.000    0.009    0.000 __init__.py:1338(_preprocess_data)
        2    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
      147    0.001    0.000    0.003    0.000 deprecation.py:133(deprecate)
      390    0.001    0.000    0.001    0.000 __init__.py:1730(<dictcomp>)
      428    0.001    0.000    0.005    0.000 rcsetup.py:310(validate_color)
     1436    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
     1572    0.001    0.000    0.001    0.000 font_manager.py:1122(_expand_aliases)
      715    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      370    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      349    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       26    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
   247/61    0.001    0.000    0.033    0.001 core.py:4108(parseImpl)
      642    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:391(cached)
     1436    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
      101    0.001    0.000    0.600    0.006 artist.py:128(_update_set_signature_and_docstring)
      459    0.001    0.000    0.001    0.000 contextlib.py:102(__init__)
      766    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      699    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
       47    0.001    0.000    0.003    0.000 lines.py:649(recache)
      346    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       42    0.001    0.000    0.006    0.000 lines.py:724(draw)
      345    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       25    0.001    0.000    0.001    0.000 enum.py:222(<setcomp>)
      253    0.001    0.000    0.001    0.000 {built-in method posix.lstat}
      370    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
      678    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       32    0.000    0.000    0.001    0.000 function_base.py:23(linspace)
     1188    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
   234/16    0.000    0.000    0.001    0.000 ast.py:414(generic_visit)
     1266    0.000    0.000    0.000    0.000 sre_parse.py:112(__init__)
      311    0.000    0.000    0.001    0.000 sre_parse.py:356(_escape)
      499    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      213    0.000    0.000    0.001    0.000 shape_base.py:612(column_stack)
     5253    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1044    0.000    0.000    0.001    0.000 core.py:757(preParse)
      416    0.000    0.000    0.001    0.000 copy.py:259(_reconstruct)
      216    0.000    0.000    0.210    0.001 artist.py:1327(__init__)
     1017    0.000    0.000    0.001    0.000 __init__.py:101(check_in_list)
      313    0.000    0.000    0.001    0.000 function_base.py:443(_needs_add_docstring)
      360    0.000    0.000    0.001    0.000 posixpath.py:71(join)
     2643    0.000    0.000    0.002    0.000 util.py:108(get)
      215    0.000    0.000    0.224    0.001 font_manager.py:1248(findfont)
     3731    0.000    0.000    0.000    0.000 artist.py:832(get_animated)
2444/2442    0.000    0.000    0.000    0.000 results.py:159(__init__)
1961/1889    0.000    0.000    0.005    0.000 {built-in method builtins.next}
