         12317905 function calls (12276807 primitive calls) in 15.128 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      943    0.001    0.000    0.001    0.000 feature.py:118(feature_import)
      360    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      135    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     8753    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
    327/1    0.001    0.000   15.129   15.129 {built-in method builtins.exec}
      392    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      133    0.001    0.000    0.028    0.000 std.py:1478(display)
   447/18    0.001    0.000    0.954    0.053 {built-in method builtins.__import__}
       42    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.001    0.001    0.021    0.021 backend_qt.py:516(__init__)
     1061    0.001    0.000    0.001    0.000 results.py:136(__new__)
      695    0.001    0.000    0.001    0.000 contextlib.py:102(__init__)
      617    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1944    0.001    0.000    0.003    0.000 re.py:187(match)
     1266    0.001    0.000    0.011    0.000 __init__.py:623(__setitem__)
      226    0.001    0.000    0.046    0.000 sre_compile.py:783(compile)
     2797    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
     2432    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     5650    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
        2    0.001    0.000    0.001    0.000 {method 'copy_from_bbox' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        8    0.001    0.000    0.001    0.000 backend_qt.py:675(_icon)
       34    0.001    0.000    0.025    0.001 axis.py:57(__init__)
     8894    0.001    0.000    0.001    0.000 inspect.py:2999(parameters)
      353    0.001    0.000    0.001    0.000 transforms.py:207(set_children)
     2200    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     3733    0.001    0.000    0.001    0.000 inspect.py:191(isclass)
      848    0.001    0.000    0.002    0.000 font_manager.py:968(_json_decode)
     1677    0.001    0.000    0.001    0.000 __init__.py:101(check_in_list)
      226    0.001    0.000    0.004    0.000 sre_compile.py:560(_compile_info)
      131    0.001    0.000    0.030    0.000 std.py:1212(update)
    306/7    0.001    0.000    0.998    0.143 <frozen importlib._bootstrap_external>:877(exec_module)
       28    0.001    0.000    0.002    0.000 util.py:182(_collapse_string_to_ranges)
      864    0.001    0.000    0.004    0.000 colors.py:152(to_rgba)
     1542    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2604    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
2429/2333    0.001    0.000    0.007    0.000 {built-in method builtins.next}
       58    0.001    0.000    0.004    0.000 lines.py:649(recache)
     1603    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     6111    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1102    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      304    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      352    0.001    0.000    0.001    0.000 font_manager.py:710(__hash__)
       68    0.001    0.000    0.352    0.005 text.py:290(_get_layout)
 3627/861    0.001    0.000    0.001    0.000 docstring.py:48(_recursive_subclasses)
     6215    0.001    0.000    0.001    0.000 artist.py:832(get_animated)
      417    0.001    0.000    0.003    0.000 copy.py:66(copy)
     1482    0.001    0.000    0.003    0.000 colors.py:106(_is_nth_color)
      108    0.001    0.000    0.003    0.000 traceback.py:338(extract)
      238    0.001    0.000    0.003    0.000 markers.py:295(_set_marker)
     2616    0.001    0.000    0.001    0.000 sre_parse.py:250(match)
      286    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      133    0.001    0.000    0.010    0.000 std.py:348(print_status)
     2714    0.001    0.000    0.001    0.000 util.py:185(is_consecutive)
       92    0.001    0.000    0.009    0.000 __init__.py:1338(_preprocess_data)
     2184    0.001    0.000    0.001    0.000 inspect.py:199(ismethod)
